epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1977,2.57424,3.69836,2.26573,0.00233,0.63636,0.01155,0.00398,2.54584,4.15147,2.10742,4e-05,4e-05,4e-05
2,29.2522,2.088,3.4504,1.92798,0.00367,1,0.35104,0.19846,1.6211,3.57714,1.4669,9.934e-05,9.934e-05,9.934e-05
3,43.7674,2.07782,3.27065,1.97054,0.00367,1,0.72404,0.39149,1.37302,3.24344,1.29222,0.000157888,0.000157888,0.000157888
4,58.0873,1.60627,2.9241,1.45612,0.00367,1,0.39593,0.127,1.80252,3.39563,1.4809,0.000215644,0.000215644,0.000215644
5,72.2812,1.6143,2.79389,1.48918,0.00367,1,0.54218,0.14745,1.87759,3.4506,1.68093,0.000272608,0.000272608,0.000272608
6,86.4168,1.75956,2.84318,1.53103,0.00367,1,0.28916,0.07734,1.91474,3.48968,1.7183,0.00032878,0.00032878,0.00032878
7,100.36,1.73718,2.69959,1.47909,0.00367,1,0.46537,0.15654,1.88287,3.63397,1.87747,0.00038416,0.00038416,0.00038416
8,114.593,1.53927,2.43678,1.3703,0.00624,0.90909,0.39139,0.12267,2.14883,3.74756,2.11586,0.000438748,0.000438748,0.000438748
9,129.023,1.66677,2.47084,1.47313,0.69617,0.214,0.50306,0.17577,2.05502,3.41084,1.94582,0.000492544,0.000492544,0.000492544
10,143.543,1.66236,2.51645,1.50503,0.68276,0.19938,0.55057,0.23566,1.50588,3.31002,1.48862,0.000545548,0.000545548,0.000545548
11,158.438,1.54553,2.40779,1.41802,0.48728,0.54545,0.45727,0.1756,1.72157,3.35225,1.71247,0.00059776,0.00059776,0.00059776
12,174.355,1.53101,2.391,1.43127,0.56094,0.45455,0.42157,0.18898,1.62248,3.23045,1.57791,0.00064918,0.00064918,0.00064918
13,189.824,1.56866,2.25067,1.38506,0.20225,0.81818,0.55908,0.23335,1.6376,3.22444,1.6496,0.000699808,0.000699808,0.000699808
14,204.493,1.63442,2.27376,1.41538,0.21842,0.81818,0.65282,0.29442,1.5549,3.13926,1.657,0.000749644,0.000749644,0.000749644
15,218.989,1.59337,2.17861,1.42529,0.66771,0.36562,0.56387,0.2476,1.66094,3.01329,1.66295,0.000798688,0.000798688,0.000798688
16,233.578,1.55804,2.02068,1.36525,0.48006,0.54545,0.48714,0.21042,1.73535,3.05673,1.77995,0.00084694,0.00084694,0.00084694
17,248.195,1.56851,2.19373,1.37978,0.66471,0.54545,0.47973,0.18509,1.83915,3.21434,1.90631,0.0008944,0.0008944,0.0008944
18,262.392,1.52792,2.19088,1.3541,0.37055,0.36364,0.35706,0.11341,2.09721,3.44269,2.21397,0.000941068,0.000941068,0.000941068
19,276.791,1.51751,2.27023,1.38465,0.39793,0.18182,0.30579,0.08932,2.28256,3.85877,2.2461,0.000986944,0.000986944,0.000986944
20,290.716,1.47783,2.19623,1.34716,0.57717,0.25198,0.38582,0.07961,2.40438,4.04019,2.391,0.00103203,0.00103203,0.00103203
